id;text;note
600;Akkustand 26 Prozent.;aus Inventar
601;Akkustand 25 Prozent.;aus Inventar
602;Akkustand 24 Prozent.;aus Inventar
603;Akkustand 23 Prozent.;aus Inventar
604;Akkustand 22 Prozent.;aus Inventar
605;Akkustand 21 Prozent.;aus Inventar
606;Akkustand 20 Prozent.;aus Inventar
607;Akkustand 19 Prozent.;aus Inventar
608;Akkustand 18 Prozent.;aus Inventar
609;Akkustand 17 Prozent.;aus Inventar
610;Akkustand 16 Prozent.;aus Inventar
611;Akkustand 15 Prozent.;aus Inventar
612;Akkustand 14 Prozent.;aus Inventar
613;Akkustand 13 Prozent.;aus Inventar
614;Akkustand 12 Prozent.;aus Inventar
615;Akkustand 11 Prozent.;aus Inventar
616;Akkustand 10 Prozent.;aus Inventar
617;Akkustand 9 Prozent.;aus Inventar
618;Akkustand 8 Prozent.;aus Inventar
619;Akkustand 7 Prozent.;aus Inventar
620;Akkustand 6 Prozent.;aus Inventar
621;Akkustand 5 Prozent.;aus Inventar
622;Akkustand 4 Prozent.;aus Inventar
623;Akkustand 3 Prozent.;aus Inventar
624;Akkustand 2 Prozent.;aus Inventar
625;Akkustand 1 Prozent.;aus Inventar
626;Akkustand 0 Prozent.;aus Inventar
636;Der Wischmopp ist schmutzig. Bitte stelle den Roboter zur automatischen Mopp-Wäsche in die Basisstation.;aus Inventar
638;Setze die automatische Entleerung fort.;aus Inventar
